,Name,Team,Age,Position,Apps,Mins,Goals,Assists,Yellow,Red,SpG,PS,Aerialswon,MotM,Rating
222,Rico Henry,Brentford,26," D(L),M(L)",33(1),2784,3,-,2,-,0.4,74.4,0.8,-,6.54
223,Tariq Lamptey,Brighton,23," D(LR),M(R)",16(14),1558,-,2,4,-,0.6,85.8,0.2,-,6.54
224,Timo Werner,Chelsea,28," AM(CLR),FW",15(6),1286,4,1,1,-,2.1,78.2,0.3,-,6.53
225,Mason Holgate,Everton,27," D(CR),DMC,M(R)",23(2),2134,2,1,7,1,0.3,68.4,2.5,-,6.53
226,Samir,Watford,29, D(CL),19,1676,-,-,4,-,0.4,80.7,2.5,-,6.53
227,Hwang Hee-Chan,Wolves,28," AM(CLR),FW",20(10),1822,5,1,2,-,0.9,81,0.3,1,6.53
228,Cédric Soares,Arsenal,32," D(LR),M(R)",16(5),1487,1,1,3,-,0.6,83.5,0.6,1,6.53
229,Yoane Wissa,Brentford,27," AM(L),FW",12(18),1275,7,1,-,-,1.1,68.1,0.7,-,6.52
230,Kelechi Iheanacho,Leicester,27," AM(C),FW",13(13),1263,4,5,1,-,1.2,77.4,0.6,1,6.52
231,Cucho Hernández,Watford,25," AM(CLR),FW",11(14),1143,5,2,3,-,1.4,65.6,1.3,2,6.51
232,Stuart Armstrong,Southampton,32, AM(CLR),15(10),1470,2,-,1,-,1.5,81.9,0.2,-,6.51
233,Ben Godfrey,Everton,26, D(CLR),23,2031,-,-,6,-,0.8,76.6,1.6,-,6.51
234,Albert Sambi Lokonga,Arsenal,24, DMC,12(7),1133,-,-,5,-,1.1,88.4,0.8,-,6.51
235,Adam Lallana,Brighton,35, M(CLR),18(6),1561,-,1,4,-,0.8,87.1,0.6,-,6.50
236,Allan,Everton,33, DMC,25(3),2188,-,2,7,1,0.3,80,0.4,-,6.50
237,Victor Lindelöf,Man Utd,29, D(CLR),26(2),2355,-,2,4,-,0.1,87.8,1.9,-,6.50
