,Name,Goals,Assists,SpG,Drb,Fouled,Off,Disp,UnsTch
307,Nemanja Gudelj,-,-,0.3,0.1,0.3,-,0.1,0.1
308,Sergio Gómez,-,1,0.3,0.6,0.3,-,0.3,0.3
309,Enric Gallego,-,2,0.6,0.3,0.5,0.2,0.4,0.4
310,Kévin Rodrigues,1,1,0.5,0.5,0.7,-,1.2,1.2
311,Jota,-,2,0.7,0.7,0.2,0.1,0.6,0.6
312,Dani Gómez,2,2,0.9,1,1.1,0.4,1.2,1.2
313,Shinji Okazaki,1,1,0.8,0.2,0.6,0.4,0.4,0.4
314,Manu García,-,-,0.4,0.2,1,-,0.3,0.3
315,Emiliano Rigoni,1,1,0.7,0.6,0.3,0.3,0.6,0.6
316,Kevin Gameiro,4,1,0.6,0.1,0.3,0.3,0.6,0.6
317,Idrissa Doumbia,-,-,0.2,0.5,0.2,-,0.3,0.3
318,Fede Vico,-,-,0.5,0.6,0.8,0.1,0.9,0.9
319,Omenuke Mfulu,-,-,0.2,0.1,0.3,-,0.2,0.2
320,Dani Escriche,1,1,0.4,0.7,0.7,0.3,0.6,0.6
321,Jesús Vallejo,-,-,-,0.2,0.2,0.1,-,-
322,Jon Ander Garrido,-,-,0.2,0.1,0.3,-,0.2,0.2
323,Iñigo Pérez,-,-,0.4,0.1,0.5,-,0.5,0.5
324,Jairo Izquierdo,1,-,0.3,0.5,0.5,0.1,0.6,0.6
325,Loren Morón,1,-,0.9,0.4,0.9,0.3,1,1
326,Ángel Rodríguez,5,-,1.2,0.3,0.7,0.4,0.8,0.8
327,Jon Bautista,-,1,0.6,0.2,0.3,0.1,0.2,0.2
328,Miguel Baeza,1,-,0.5,0.1,0.4,0.1,0.1,0.1
329,Sergio León,2,-,0.7,-,0.2,0.2,0.4,0.4
330,Yan Eteki,-,-,0.3,0.4,0.8,-,0.3,0.3
331,Rubén Blanco,-,-,-,-,0.1,-,-,-
332,Borja Sainz,1,-,0.3,0.5,0.3,0.1,0.5,0.5
333,Filip Malbasic,-,1,0.3,0.3,0.5,0.3,0.4,0.4
